asset_id,supported_g1,atlas_name,atlas_version,source_org,official_source,publication,doi,species,geometry_type,surface_or_volume,probabilistic_or_discrete,coordinate_space,template,resolution,original_filename,local_raw_path,shape,voxel_spacing,affine_summary,orientation,file_size,checksum,license,redistribution_status,asset_role,native_or_derived,subject_specific_or_group,independent_from_g3_g1_mapping,independent_gold_standard_candidate,registration_required,resampling_required,scientific_risk,notes,acquisition_status,exact_voxel_grid_match
JULICH_V31_PM,cortex+subcortex (G4 source),Julich-Brain,v3.1.0,FZ Jülich / HBP,https://julich-brain-atlas.de,Amunts et al. 2020,10.1126/science.abb4588,human,probability volume,volume,probabilistic,MNI152NLin2009cAsym,ICBM152 2009c Asym,1mm,*_L/R.nii.gz (414),data/atlases/julich/v3.1/spatial_raw/probability_maps,193x229x193,1x1x1,origin -96 (LPS),RAS,,,CC BY 4.0,allowed,G4 source geometry,native,group,TRUE,FALSE(G4 source),NO,NO,none,EXACT grid with 2009cAsym T1,LOCAL_PRESENT,TRUE(verified header)
BN_2009C_TRANSFORMED_PM,G3 bridge,Brainnetome (resampled),BNA246->2009c,CAS/ION,http://atlas.brainnetome.org,Fan et al. 2016,10.1093/cercor/bhw157,human,probability volume,volume,probabilistic,MNI152NLin2009cAsym,,1mm,,data/atlases/brainnetome/bna246/transformed_to_julich2009c/probability_maps,193x229x193,,,,,,academic,local,G3 bridge,derived,group,TRUE,FALSE,NO,NO,,EXACT with Julich 2009c; resampled via TemplateFlow h5,LOCAL_PRESENT,TRUE(verified header)
FS_DK_SURFACE,cortical G1,FreeSurfer Desikan-Killiany,fsaverage,Martinos/FreeSurfer,surfer.nmr.mgh.harvard.edu,Desikan et al. 2006,10.1016/j.neuroimage.2006.01.021,human,surface annotation/label,surface,discrete,fsaverage,,,,data/atlases/freesurfer/fsaverage/label,,,,,,,FreeSurfer terms,,cortical G1 surface geometry,native,group template,TRUE,YES(as surface),YES(surf2vol),YES,surface vs Julich volume,AUTHORITATIVE_NATIVE cortical G1 (surface),LOCAL_PRESENT,n/a(surface)
TPL_2009C_T1,space anchor,TemplateFlow MNI152NLin2009cAsym,res-01,TemplateFlow,,Esteban et al. 2019,10.1038/s41592-019-0511-7,human,T1 template,volume,,MNI152NLin2009cAsym,,1mm,,data/atlases/templateflow_ref,193x229x193,,,,,,CC0,,space anchor,native,group,TRUE,,NO,NO,,,LOCAL_PRESENT,TRUE(verified header)
FS_SUBFIELD_HIPPO,Hippocampus,FreeSurfer hippocampal subfields (SubfieldAtlasesICBMspace),ICBM 2009c symmetric,Martinos/FreeSurfer,surfer.nmr.mgh.harvard.edu,Iglesias et al. 2015 (subfields),10.1016/j.neuroimage.2015.03.066,human,group probabilistic atlas,volume,probabilistic,MNI-ICBM 152 2009c symmetric,2009c symmetric,1mm,(FreeSurfer dist: hippo subfields),,,,,,,,FreeSurfer terms,see terms,Hippocampus G1 probability,native,group standard,TRUE,YES(hippocampus proper/formation per ontology; no subiculum merge this round),TEMPLATE_VARIANT_CHECK(sym vs Asym),TRUE,same world coords but voxel grid UNKNOWN until read,"probability maps & template same world coordinates, NOT guaranteed same voxel grid",PENDING_EXTERNAL,FALSE/UNKNOWN(not inspected)
FS_AMYG_NUCLEI,Amygdala,FreeSurfer nuclei of the amygdala (SubfieldAtlasesICBMspace),ICBM 2009c symmetric,Martinos/FreeSurfer,surfer.nmr.mgh.harvard.edu,Saygin et al. 2017 (amygdala nuclei),10.1038/s41593-017-0017-1,human,group probabilistic atlas,volume,probabilistic,MNI-ICBM 152 2009c symmetric,2009c symmetric,1mm,(FreeSurfer dist: amygdala nuclei),,,,,,,,FreeSurfer terms,see terms,Amygdala G1 probability,native,group standard,TRUE,YES(amygdala nuclei),TEMPLATE_VARIANT_CHECK(sym vs Asym),TRUE,same world coords but voxel grid UNKNOWN until read,"probability maps & template same world coordinates, NOT guaranteed same voxel grid",PENDING_EXTERNAL,FALSE/UNKNOWN(not inspected)
FS_THAL_ICBM,Thalamus,FreeSurfer/Iglesias thalamic nuclei,ICBM 2009c symmetric,Martinos/FreeSurfer,surfer.nmr.mgh.harvard.edu,Iglesias et al. 2018,10.1016/j.neuroimage.2018.06.012,human,group probabilistic atlas,volume,probabilistic,MNI-ICBM 152 2009c symmetric,2009c symmetric,1mm,(FreeSurfer dist: thal nuclei),,,,,,,,FreeSurfer terms,see terms,Thalamus G1 probability,native,group standard,TRUE,YES(thal nuclei),TEMPLATE_VARIANT_CHECK(sym vs Asym),TRUE,grid UNKNOWN until real file header read,,PENDING_EXTERNAL,FALSE/UNKNOWN
BF_ZABORSZKY_CH1234,"Basal Forebrain (Ch1-3, Ch4, NbM)",Zaborszky et al. human postmortem stereotaxic probabilistic maps (Ch1-4/NbM; JuBrain/AnatomyToolbox),2008,Zaborszky et al.,JuBrain/Anatomy Toolbox,"Zaborszky et al. 2008, NeuroImage 42(3):1127-1141",10.1016/j.neuroimage.2008.05.055,human,group probabilistic atlas,volume,probabilistic,MNI152 (2009c variant to verify),MNI152,1mm,(Ch1-4/NbM probability maps),,,,,,,,TO_VERIFY,TO_VERIFY,Basal Forebrain G1 probability,native,group standard,TRUE,YES(Ch/NbM),TEMPLATE_VARIANT_CHECK,TRUE,license/download source to verify,,PENDING_EXTERNAL,FALSE/UNKNOWN
FS_ASEG_SUBJECT,Accumbens/Amygdala/Hippocampus/Thalamus/GPe,FreeSurfer aseg (subject segmentation),FS aseg,Martinos/FreeSurfer,surfer.nmr.mgh.harvard.edu,Fischl et al. 2002,10.1016/S0896-6273(02)00569-X,human,subject segmentation volume,volume,discrete,subject native/Talairach,subject,,,,,,,,,,FreeSurfer terms,,secondary subject validation only,native,SUBJECT_SPECIFIC,TRUE,NO(subject-specific),YES(to group),YES,segmentation model/output is NOT a group atlas,,SUBJECT_SPECIFIC_ONLY,n/a
CIT168_NAcc,Nucleus Accumbens (NAC) + subcortical nuclei,"CIT168 subcortical nuclei atlas (Pauli, Nili & Tyszka 2018)",2018 (Scientific Data 5:180063),Caltech (Tyszka),https://github.com/jmtyszka/CIT168-SubCorticalAtlas ; OSF; PennLINC/AtlasPack,"Pauli, Nili & Tyszka 2018, Scientific Data 5:180063",10.1038/sdata.2018.63,human,group probabilistic atlas,volume,probabilistic,MNI152NLin6Asym and MNI152NLin2009cAsym (both provided),MNI152NLin2009cAsym + NLin6Asym,1mm (high-res),tpl-MNI152NLin2009cAsym_atlas-CIT168_res-01_desc-RAS_dseg.nii.gz (OSF vak6p); NLin6Asym (OSF 2qswg); LUT (OSF 6qrcb),,,,,,,,see OSF project (academic; verify),see project,NAcc G1 probability,derived (normalized group),group standard,TRUE,YES(NAC),NO for 2009cAsym file (same family; grid to verify),TRUE(grid check after download),2009cAsym projection exists but voxel grid UNKNOWN until header read,CIT168 includes NAC; MNI152NLin2009cAsym projection available; potential_exact_template_family_match=TRUE (grid to verify),PENDING_EXTERNAL,FALSE/UNKNOWN(not inspected)
